Loc+, Acap, Aexp, Arch, Cplx, Data, Docu, Flex, Ltex, Pcap, Pcon, Plex, Pmat, Prec, Pvol, Rely, Ruse, Sced, Site, Stor, Team, Time, Tool, Risk-, Effort-
378,5,4,2,6,2,5,2,2,5,3,3,4,3,3,3,5,3,4,4,2,4,5,1,5478
1909,2,1,1,4,4,5,4,3,3,4,4,5,5,4,4,3,1,4,5,1,6,1,26,207924
1011,2,3,4,3,4,2,1,3,4,1,4,6,1,4,1,2,3,4,4,5,5,4,0,9432
1234,3,5,6,2,4,4,2,4,4,3,1,2,5,2,2,6,2,3,5,5,6,1,8,16270
1746,4,1,3,4,5,5,1,1,2,4,2,2,3,2,3,2,2,3,3,5,4,3,6,124359
1741,4,4,1,5,3,3,6,4,1,2,2,2,3,2,1,5,2,1,3,6,4,5,6,42191
526,1,2,2,1,3,3,4,3,3,3,4,2,3,3,2,3,4,5,6,2,4,1,9,8244
275,4,1,1,2,5,4,2,1,5,5,3,3,5,3,2,3,2,4,5,4,4,3,2,4509
499,4,2,6,6,3,2,3,1,2,4,3,3,5,3,2,4,3,5,5,4,4,1,11,10014
540,4,2,5,6,2,4,4,1,3,3,4,3,4,4,2,3,4,2,5,5,5,1,6,12871
707,3,4,5,5,4,5,6,4,4,5,4,5,5,4,4,3,3,3,5,3,6,3,1,13356
1512,4,2,1,5,4,1,1,2,2,2,5,6,3,2,5,4,5,2,5,4,6,4,8,36745
252,3,3,6,5,4,2,4,2,5,1,3,5,4,3,3,5,3,5,4,5,5,2,1,4870
522,2,5,3,4,4,3,3,3,5,4,2,4,6,3,2,3,5,2,5,3,3,5,0,3741
8,1,3,6,5,3,4,6,2,4,3,3,4,2,5,3,4,4,4,6,5,4,2,9,121
1475,2,4,4,3,5,3,5,3,4,3,2,2,2,3,3,5,2,3,3,4,6,4,5,39741
1559,3,4,3,6,4,4,4,5,5,5,5,1,1,4,2,5,2,3,3,3,6,5,6,24135
335,4,3,4,2,2,2,1,4,2,1,4,6,5,4,2,5,1,4,5,6,5,5,9,3386
415,4,1,4,3,2,4,5,5,2,4,4,4,6,2,1,5,4,2,4,1,5,4,5,2605
