MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
75.4,2.19,0,40,squared_error,3,2.75,10
73.68,7.55,25,190,squared_error,18,4.25,6
75.4,11.58,37.5,130,squared_error,1,0.75,15
72.57,7.89,25,170,squared_error,17,4.25,13
100,0,37.5,180,absolute_error,17,6.75,14
75.7,6.93,0,200,squared_error,19,4.25,1
76.69,6.43,0,130,squared_error,3,2.5,17
69.08,8.99,25,30,poisson,6,9.25,10
100,0,37.5,190,absolute_error,8,8.25,2
74.66,7.25,25,90,squared_error,8,5.5,4
72.42,7.94,25,80,squared_error,13,6,17
74.78,7.21,25,10,poisson,1,5.5,9
72.65,7.87,25,190,squared_error,9,3.5,5
78.84,2.55,12.5,40,squared_error,1,0.25,19
72.99,7.76,25,120,poisson,5,6.5,10
71.15,8.33,25,150,poisson,2,6.25,9
74.57,7.27,25,180,poisson,19,0.5,6
76.78,6.6,0,190,squared_error,10,3.75,2
75.77,8.91,0,160,squared_error,1,4.5,8
74.22,7.38,25,180,poisson,10,1.25,10
100,0,37.5,40,absolute_error,5,9.5,16
75.9,6.87,0,190,poisson,1,2.75,14
74.21,7.39,25,200,squared_error,9,5,5
72.67,7.86,25,140,poisson,5,6,3
72.15,8.02,25,60,squared_error,20,6,3
74.52,7.29,25,100,poisson,6,3.5,2
100,0,37.5,110,absolute_error,12,3.5,11
73.65,7.56,25,60,squared_error,17,1.5,18
100,0,37.5,120,absolute_error,2,2.5,11
99.75,0.07,0,170,absolute_error,13,8,18
73.9,7.48,25,30,squared_error,11,6.75,1
70.39,8.57,25,10,squared_error,1,6.75,5
72.95,7.77,25,150,squared_error,12,1.5,1
72.48,7.92,25,20,squared_error,16,2.25,3
76.75,6.61,0,50,squared_error,4,4.5,7
73.01,7.75,25,150,squared_error,14,5.5,18
74.9,7.83,25,120,squared_error,1,4.75,3
99.7,0.08,0,140,absolute_error,8,6.25,14
72.94,7.78,25,80,squared_error,16,9.25,20
99.74,0.07,0,160,absolute_error,1,7,9
100,0,37.5,50,absolute_error,9,2,5
100,0,37.5,110,absolute_error,4,2.5,18
69.74,8.78,25,70,poisson,16,4.5,14
73.99,7.45,25,180,poisson,12,1.25,11
100,0,37.5,10,absolute_error,5,8.5,19
75.73,6.92,0,30,squared_error,20,3.75,19
77.7,6.32,0,100,squared_error,6,3.75,1
100,0,37.5,100,absolute_error,13,3.25,13
75,7.14,0,100,poisson,16,4.75,11
82.13,5,0,20,squared_error,16,7,10
73.51,7.6,25,180,poisson,18,8.75,3
72.31,7.97,25,120,poisson,18,2.75,2
74.91,7.17,25,170,poisson,14,10,2
100,0,37.5,60,absolute_error,17,9,5
77.85,6.28,0,10,poisson,11,3.75,2
100,0,37.5,140,absolute_error,17,1.75,13
100,0,37.5,70,absolute_error,18,4,7
76.46,6.7,0,90,poisson,10,2,7
73.03,9.6,25,120,squared_error,3,2,1
73.36,7.65,25,140,squared_error,15,0.25,15
72.76,7.83,25,170,poisson,18,3,1
100,0,37.5,200,absolute_error,18,0.5,15
75.25,7.07,0,190,poisson,4,6.5,17
73.25,7.68,25,100,squared_error,18,7.5,19
79.66,5.74,0,40,poisson,12,3,13
100,0,37.5,90,absolute_error,12,5,15
100,0,37.5,10,absolute_error,11,5.25,7
100,0,37.5,70,absolute_error,7,5.25,2
73.32,7.66,25,30,squared_error,4,6.75,7
80.04,5.62,0,30,squared_error,3,5.25,5
72.2,8.01,25,90,poisson,16,8,10
100,0,37.5,150,absolute_error,7,4.25,12
100,0,37.5,140,absolute_error,18,4.75,14
73.46,7.61,25,160,squared_error,5,8,5
70.23,8.62,25,40,squared_error,19,3.5,15
100,0,37.5,120,absolute_error,4,7.25,3
70.13,8.65,25,100,poisson,20,3,6
100,0,37.5,130,absolute_error,17,8,14
99.74,0.07,0,160,absolute_error,4,2.5,5
73.89,7.48,25,160,squared_error,13,2.75,15
76.45,6.7,0,100,poisson,3,4.5,11
74.95,7.16,25,200,squared_error,12,0.75,16
73.88,7.49,25,180,squared_error,13,1,12
76.75,6.61,0,30,squared_error,9,9.75,6
72.86,7.8,25,40,poisson,6,2.5,16
73.43,7.62,25,140,squared_error,6,7,3
73.76,7.52,25,60,poisson,2,6,12
100,0,37.5,80,absolute_error,3,8.5,12
74.78,7.21,25,160,squared_error,18,5.75,10
100,0,37.5,120,absolute_error,19,2.5,17
100,0,37.5,180,absolute_error,10,1.5,9
75.35,5.85,0,140,squared_error,6,1.25,5
73,7.76,25,150,squared_error,13,6.25,5
100,0,37.5,110,absolute_error,12,4.75,17
99.68,0.09,0,130,absolute_error,9,9.75,8
72.2,8.01,25,190,poisson,11,7.25,4
100,0,37.5,40,absolute_error,7,6.25,2
100,0,37.5,30,absolute_error,20,4.5,20
100,0,37.5,30,absolute_error,13,9.5,13
71.82,8.13,25,80,poisson,20,6.25,5
99.62,0.1,0,110,absolute_error,10,4.5,15
78.07,6.21,0,20,poisson,13,0,2
76.32,6.74,0,40,squared_error,5,4.75,19
100,0,37.5,20,absolute_error,5,3,9
75.31,7.05,0,100,squared_error,16,7.25,6
73,8.96,25,80,squared_error,2,4.5,15
81.14,5.3,0,10,squared_error,14,1.25,18
64.18,33.03,37.5,50,squared_error,1,2,14
74.78,7.21,25,60,squared_error,16,0,20
73.29,7.67,25,150,poisson,20,1.75,5
72.93,7.78,25,110,squared_error,9,1.5,4
62.28,11.18,25,20,squared_error,9,8.25,18
