MRE-,ACC+,PRED40+,N_estimators,criterion,Min_sample_leaves,Min_impurity_decrease,Max_depth
121.5,-13.07,0,40,squared_error,3,2.75,10
119.61,-12.35,0,190,squared_error,18,4.25,6
118.51,-11.9,0,130,squared_error,1,0.75,15
120.71,-12.77,0,170,squared_error,17,4.25,13
100.56,-0.55,0,180,absolute_error,17,6.75,14
119.4,-12.26,0,200,squared_error,19,4.25,1
118.41,-11.86,0,130,squared_error,3,2.5,17
121.56,-13.09,0,30,poisson,6,9.25,10
100.53,-0.52,0,190,absolute_error,8,8.25,2
120.37,-12.64,0,90,squared_error,8,5.5,4
119.5,-12.3,0,80,squared_error,13,6,17
118.67,-11.97,0,10,poisson,1,5.5,9
118.91,-12.07,0,190,squared_error,9,3.5,5
119.5,-12.3,0,40,squared_error,1,0.25,19
120.67,-12.76,0,120,poisson,5,6.5,10
119.51,-12.31,0,150,poisson,2,6.25,9
119.22,-12.19,0,180,poisson,19,0.5,6
119.89,-12.46,0,190,squared_error,10,3.75,2
119.58,-12.34,0,160,squared_error,1,4.5,8
119.52,-12.31,0,180,poisson,10,1.25,10
0,0,83.33333333,40,absolute_error,5,9.5,16
118.56,-11.92,0,190,poisson,1,2.75,14
119.9,-12.46,0,200,squared_error,9,5,5
120.62,-12.74,0,140,poisson,5,6,3
121.22,-12.97,0,60,squared_error,20,6,3
117.27,-11.37,0,100,poisson,6,3.5,2
0,0,83.33333333,110,absolute_error,12,3.5,11
119,-12.1,0,60,squared_error,17,1.5,18
101.67,-1.59,0,120,absolute_error,2,2.5,11
100.59,-0.58,0,170,absolute_error,13,8,18
117.33,-11.4,0,30,squared_error,11,6.75,1
115.33,-10.5,0,10,squared_error,1,6.75,5
120.44,-12.67,0,150,squared_error,12,1.5,1
119.33,-12.24,0,20,squared_error,16,2.25,3
120,-12.5,0,50,squared_error,4,4.5,7
120.8,-12.81,0,150,squared_error,14,5.5,18
119.17,-12.17,0,120,squared_error,1,4.75,3
100.71,-0.7,0,140,absolute_error,8,6.25,14
121.42,-13.04,0,80,squared_error,16,9.25,20
100.63,-0.61,0,160,absolute_error,1,7,9
0,0,83.33333333,50,absolute_error,9,2,5
100.91,-0.88,0,110,absolute_error,4,2.5,18
