Culture,Criticality,Criticality Modifier,Initial Known,InterDependency,Dynamism,Size,Plan,Team Size,Cost-,Score:,Completion+,Idle-
0.120837111,1.255678615,3,0.633015969,88,3,0,1,12,230.0250419,0.965362054,0.785714286,0
0.149112039,0.860180537,2,0.915361631,83,1,1,4,17,163.0157444,0.945824084,0.942307692,0.209677419
0.128838971,1.053085313,5,0.848914438,87,6,1,1,12,620.2104006,0.96588634,0.657142857,0
0.105975726,1.025326624,4,0.76223446,85,6,1,2,14,436.0397493,0.942461064,0.913043478,0.275862069
0.193265763,1.247972736,5,0.637298843,87,3,0,2,19,724.4189573,0.939693752,1,0.222222222
0.140032092,0.957774497,7,0.708648315,92,4,1,2,12,599.63683,0.943102525,0.971428571,0.492537313
0.147062552,0.884124541,4,0.885350022,90,8,1,1,17,303.6192664,0.944848242,0.772727273,0.15
0.17306891,0.837445327,4,0.763022241,98,5,1,4,16,341.6907984,0.867876009,1,0.430769231
0.132344999,1.176574938,2,0.688125478,84,8,0,4,14,119.2454103,0.932170757,0.7,0
0.131060812,1.158520032,6,0.847018144,81,2,0,1,13,406.3950993,0.96961303,0.933333333,0.5625
0.139223978,0.893888207,5,0.601698282,80,2,0,2,11,254.5087273,0.965610954,1,0.083333333
0.186833817,1.199327948,2,0.648645883,93,6,0,3,19,152.6924568,0.846477772,0.857142857,0.571428571
0.110011036,1.191913303,4,0.735842349,91,7,0,0,15,259.0564212,0.932437524,0.916666667,0
0.140594062,1.134061099,2,0.715633783,85,7,0,0,14,142.6647594,0.857002498,0.9375,0.464285714
0.114572083,1.195963677,5,0.680095327,81,6,0,3,13,451.223523,0.96807524,0.916666667,0.214285714
0.13182866,0.966898281,2,0.93082915,89,9,0,4,12,81.42933685,0.951796315,0.19047619,0
0.135779319,0.879220995,5,0.857752915,86,8,0,0,12,298.6989681,0.92016914,1,0.416666667
0.112177802,0.867074732,4,0.677108845,80,1,0,3,11,135.2852663,0.983214522,0.818181818,0
0.15855301,1.043958448,6,0.819987134,82,5,0,2,14,288.0547298,0.961911196,0.846153846,0
0.121749938,1.206177879,3,0.823940751,82,1,1,3,15,331.6035937,0.953792526,0.833333333,0.122807018
0.151742021,0.906800801,2,0.78552351,88,8,0,0,11,114.2304923,0.960195089,0.695652174,0
0.126546234,1.215756246,5,0.786875141,94,7,1,2,11,524.5703756,0.933642967,0.806451613,0.074074074
0.143056386,1.063299665,7,0.870517765,91,1,1,1,13,676.6702859,0.940158786,0.913043478,0.596153846
0.150739665,0.963252723,4,0.602020278,94,8,0,1,18,181.4151054,0.912604969,0.888888889,0
0.147061697,0.948901199,4,0.893479949,99,8,1,4,18,397.772222,0.94221617,0.965517241,0.066666667
0.148917824,1.111932831,4,0.911765664,83,8,1,2,14,310.0645295,0.955196064,0.357798165,0
0.185873926,1.042176314,3,0.948290545,99,2,1,3,17,324.2105251,0.977072838,0.925,0.097560976
0.109905197,1.062227493,4,0.70470663,83,7,1,0,19,473.919857,0.932955642,0.967741935,0.0625
0.196400021,1.208346995,2,0.664827748,96,1,0,0,17,100.7695378,0.86533077,1,0.428571429
0.118426947,1.03888698,5,0.790506331,87,2,1,3,10,563.598726,0.988390965,0.878787879,0
0.189672255,1.166462958,5,0.901127419,96,8,1,1,17,563.2063409,0.892612299,0.885714286,0.279069767
0.14745676,1.109804383,5,0.658295209,94,5,0,1,11,415.3305729,0.916289769,0.888888889,0.384615385
0.129280145,1.117901939,4,0.654182106,83,2,0,0,13,217.2631442,0.978158801,0.909090909,0.375
0.166495369,0.980381217,7,0.621470783,96,5,0,0,16,356.3445607,0.866652015,1,0.428571429
0.12080275,1.02918128,7,0.941920027,80,4,0,2,16,484.299086,0.936451135,0.933333333,0.44
0.157618207,1.194216131,4,0.621473997,80,4,1,1,10,477.2501191,0.935286211,0.921052632,0.363636364
0.187186695,1.233800411,6,0.75844921,95,3,1,2,11,817.2838749,0.893636561,0.928571429,0.4
0.198501439,1.249864206,4,0.853736058,94,9,1,3,12,441.416365,0.787852617,0.844155844,0.261363636
0.13612405,1.093297348,3,0.894648808,95,1,0,3,14,235.0836332,0.931515693,1,0.631578947
0.165192268,1.242483796,5,0.921735627,83,1,1,2,11,533.5263315,0.972122036,0.71875,0
0.199794514,1.104205522,2,0.60891519,83,7,1,3,19,257.2473121,0.864857465,0.935483871,0.42
0.170192347,0.929567131,4,0.630454615,82,2,1,1,14,305.6833689,0.985871888,0.779661017,0
0.166585778,0.878760399,3,0.633587884,93,1,1,2,19,291.6395691,0.93161063,0.923076923,0.47826087
0.19549046,1.079645441,2,0.88527224,80,8,1,0,16,184.4998147,0.885328291,0.955555556,0.218181818
0.138366282,1.126039428,5,0.847963149,87,8,1,3,12,545.3772382,0.886070712,0.916666667,0.301587302
